EP, 16, 2025100118,   , BEST,   0, 120N,  995W,  15, 0, DB, 
EP, 16, 2025100200,   , BEST,   0, 121N, 1003W,  15, 0, DB,  
EP, 16, 2025100206,   , BEST,   0, 122N, 1008W,  20, 0, DB,   
EP, 16, 2025100212,   , BEST,   0, 123N, 1014W,  20, 0, DB,   
EP, 16, 2025100218,   , BEST,   0, 124N, 1020W,  20, 0, DB,  
EP, 16, 2025100300,   , BEST,   0, 125N, 1025W,  20, 0, DB, 
EP, 16, 2025100306,   , BEST,   0, 127N, 1032W,  20, 0, DB, 
EP, 16, 2025100312,   , BEST,   0, 129N, 1036W,  25, 0, TD, 
EP, 16, 2025100318,   , BEST,   0, 132N, 1040W,  30, 0, TD,  
EP, 16, 2025100400,   , BEST,   0, 138N, 1047W,  35, 0, TS, 
EP, 16, 2025100406,   , BEST,   0, 143N, 1053W,  55, 0, TS, 
EP, 16, 2025100412,   , BEST,   0, 148N, 1059W,  60, 0, TS, 
EP, 16, 2025100418,   , BEST,   0, 154N, 1065W,  65, 0, HU,  
EP, 16, 2025100500,   , BEST,   0, 156N, 1067W,  75, 0, HU, 
EP, 16, 2025100506,   , BEST,   0, 159N, 1068W,  85, 0, HU,  
EP, 16, 2025100512,   , BEST,   0, 161N, 1069W,  90, 0, HU,   
EP, 16, 2025100518,   , BEST,   0, 163N, 1070W, 100, 0, HU, 
EP, 16, 2025100600,   , BEST,   0, 166N, 1071W, 105, 0, HU,  
EP, 16, 2025100606,   , BEST,   0, 170N, 1072W, 115, 0, HU,  
EP, 16, 2025100612,   , BEST,   0, 173N, 1073W, 125, 0, HU,    
EP, 16, 2025100618,   , BEST,   0, 180N, 1076W, 125, 0, HU,  
EP, 16, 2025100700,   , BEST,   0, 186N, 1082W, 125, 0, HU,  
EP, 16, 2025100706,   , BEST,   0, 191N, 1090W, 120, 0, HU, 
EP, 16, 2025100712,   , BEST,   0, 195N, 1098W, 115, 0, HU,  
EP, 16, 2025100718,   , BEST,   0, 197N, 1105W, 105, 0, HU,  
EP, 16, 2025100800,   , BEST,   0, 203N, 1112W, 100, 0, HU,  
EP, 16, 2025100806,   , BEST,   0, 207N, 1117W,  95, 0, HU,  
EP, 16, 2025100812,   , BEST,   0, 211N, 1122W,  90, 0, HU,  
EP, 16, 2025100818,   , BEST,   0, 217N, 1127W,  85, 0, HU,  
EP, 16, 2025100900,   , BEST,   0, 223N, 1133W,  75, 0, HU,   
EP, 16, 2025100906,   , BEST,   0, 231N, 1139W,  65, 0, HU,  
EP, 16, 2025100912,   , BEST,   0, 236N, 1145W,  65, 0, HU,  
EP, 16, 2025100918,   , BEST,   0, 241N, 1149W,  60, 0, TS,  
EP, 16, 2025101000,   , BEST,   0, 247N, 1151W,  65, 0, HU,  
EP, 16, 2025101006,   , BEST,   0, 252N, 1152W,  75, 0, HU,  
EP, 16, 2025101012,   , BEST,   0, 257N, 1152W,  85, 0, HU,  
EP, 16, 2025101018,   , BEST,   0, 261N, 1154W,  70, 0, HU,  
EP, 16, 2025101100,   , BEST,   0, 267N, 1145W,  60, 0, TS,  
EP, 16, 2025101106,   , BEST,   0, 277N, 1139W,  55, 0, SS, 
EP, 16, 2025101112,   , BEST,   0, 284N, 1131W,  50, 0, SS, 
EP, 16, 2025101118,   , BEST,   0, 289N, 1123W,  45, 0, EX,
EP, 16, 2025101200,   , BEST,   0, 294N, 1117W,  30, 0, EX,
