EP, 15, 2025092812,   , BEST,   0, 115N, 1085W,  15, 0, DB,  
EP, 15, 2025092818,   , BEST,   0, 111N, 1091W,  15, 0, DB,  
EP, 15, 2025092900,   , BEST,   0, 107N, 1100W,  20, 0, DB, 
EP, 15, 2025092906,   , BEST,   0, 102N, 1109W,  25, 0, DB, 
EP, 15, 2025092912,   , BEST,   0,  98N, 1116W,  30, 0, TD,  
EP, 15, 2025092918,   , BEST,   0,  93N, 1123W,  30, 0, TD,  
EP, 15, 2025093000,   , BEST,   0,  91N, 1125W,  30, 0, TD,  
EP, 15, 2025093006,   , BEST,   0,  93N, 1130W,  35, 0, TS, 
EP, 15, 2025093012,   , BEST,   0,  95N, 1133W,  55, 0, TS,
EP, 15, 2025093018,   , BEST,   0,  99N, 1137W,  60, 0, TS, 
EP, 15, 2025100100,   , BEST,   0, 104N, 1142W,  65, 0, HU, 
EP, 15, 2025100106,   , BEST,   0, 108N, 1145W,  75, 0, HU, 
EP, 15, 2025100112,   , BEST,   0, 114N, 1149W,  95, 0, HU, 
EP, 15, 2025100118,   , BEST,   0, 118N, 1158W, 100, 0, HU, 
EP, 15, 2025100200,   , BEST,   0, 121N, 1167W, 120, 0, HU,  
EP, 15, 2025100206,   , BEST,   0, 122N, 1174W, 115, 0, HU,  
EP, 15, 2025100212,   , BEST,   0, 124N, 1180W, 105, 0, HU,  
EP, 15, 2025100218,   , BEST,   0, 126N, 1187W,  90, 0, HU, 
EP, 15, 2025100300,   , BEST,   0, 128N, 1193W,  85, 0, HU, 
EP, 15, 2025100306,   , BEST,   0, 131N, 1200W,  75, 0, HU,  
EP, 15, 2025100312,   , BEST,   0, 133N, 1207W,  65, 0, HU, 
EP, 15, 2025100318,   , BEST,   0, 135N, 1214W,  55, 0, TS, 
EP, 15, 2025100400,   , BEST,   0, 136N, 1224W,  60, 0, TS,  
EP, 15, 2025100406,   , BEST,   0, 140N, 1230W,  55, 0, TS,   
EP, 15, 2025100412,   , BEST,   0, 144N, 1235W,  55, 0, TS,  
EP, 15, 2025100418,   , BEST,   0, 147N, 1238W,  55, 0, TS,  
EP, 15, 2025100506,   , BEST,   0, 155N, 1242W,  65, 0, HU, 
EP, 15, 2025100512,   , BEST,   0, 156N, 1239W,  70, 0, HU, 
EP, 15, 2025100518,   , BEST,   0, 159N, 1235W,  85, 0, HU,  
EP, 15, 2025100600,   , BEST,   0, 162N, 1231W,  95, 0, HU,  
EP, 15, 2025100606,   , BEST,   0, 163N, 1225W, 100, 0, HU, 
EP, 15, 2025100612,   , BEST,   0, 163N, 1219W, 120, 0, HU, 
EP, 15, 2025100618,   , BEST,   0, 162N, 1213W, 130, 0, HU, 
EP, 15, 2025100700,   , BEST,   0, 159N, 1207W, 120, 0, HU, 
EP, 15, 2025100706,   , BEST,   0, 158N, 1201W, 115, 0, HU,  
EP, 15, 2025100712,   , BEST,   0, 157N, 1196W, 120, 0, HU,  
EP, 15, 2025100718,   , BEST,   0, 155N, 1192W, 115, 0, HU, 
EP, 15, 2025100800,   , BEST,   0, 153N, 1185W, 115, 0, HU,  
EP, 15, 2025100806,   , BEST,   0, 151N, 1178W, 120, 0, HU, 
EP, 15, 2025100812,   , BEST,   0, 152N, 1168W, 130, 0, HU, 
EP, 15, 2025100818,   , BEST,   0, 155N, 1158W, 115, 0, HU,  
EP, 15, 2025100900,   , BEST,   0, 159N, 1140W, 100, 0, HU, 
EP, 15, 2025100906,   , BEST,   0, 166N, 1124W,  95, 0, HU, 
EP, 15, 2025100912,   , BEST,   0, 176N, 1110W,  85, 0, HU, 
EP, 15, 2025100918,   , BEST,   0, 182N, 1101W, 115, 0, HU, 
EP, 15, 2025101000,   , BEST,   0, 189N, 1096W, 125, 0, HU,
EP, 15, 2025101006,   , BEST,   0, 194N, 1086W, 100, 0, HU,  
EP, 15, 2025101012,   , BEST,   0, 200N, 1077W, 115, 0, HU, 
EP, 15, 2025101018,   , BEST,   0, 208N, 1066W, 120, 0, HU, 
EP, 15, 2025101100,   , BEST,   0, 211N, 1058W, 110, 0, HU,
EP, 15, 2025101106,   , BEST,   0, 218N, 1051W,  95, 0, HU, 
EP, 15, 2025101112,   , BEST,   0, 225N, 1048W,  65, 0, HU,
EP, 15, 2025101118,   , BEST,   0, 233N, 1035W,  45, 0, TS,
EP, 15, 2025101200,   , BEST,   0, 239N, 1026W,  35, 0, LO,
EP, 15, 2025101206,   , BEST,   0, 244N, 1017W,  25, 0, LO,
