EP, 05, 2025061618,   , BEST,   0, 106N,  915W,  30, 0, DB, 
EP, 05, 2025061700,   , BEST,   0, 113N,  924W,  30, 0, TD, 
EP, 05, 2025061706,   , BEST,   0, 117N,  933W,  30, 0, TD, 
EP, 05, 2025061712,   , BEST,   0, 121N,  937W,  35, 0, TS, 
EP, 05, 2025061718,   , BEST,   0, 123N,  940W,  60, 0, TS, 
EP, 05, 2025061800,   , BEST,   0, 126N,  946W,  70, 0, HU, 
EP, 05, 2025061806,   , BEST,   0, 131N,  951W,  95, 0, HU, 
EP, 05, 2025061812,   , BEST,   0, 137N,  957W, 100, 0, HU, 
EP, 05, 2025061818,   , BEST,   0, 142N,  963W, 125, 0, HU, 
EP, 05, 2025061900,   , BEST,   0, 149N,  968W, 130, 0, HU, 
EP, 05, 2025061906,   , BEST,   0, 155N,  975W, 140, 0, HU, 
EP, 05, 2025061911,   , BEST,   0, 163N,  983W, 130, 0, HU, 
EP, 05, 2025061912,   , BEST,   0, 164N,  984W, 115, 0, HU, 
EP, 05, 2025061918,   , BEST,   0, 171N,  993W,  95, 0, HU, 
EP, 05, 2025062000,   , BEST,   0, 178N, 1003W,  75, 0, HU, 
EP, 05, 2025062006,   , BEST,   0, 183N, 1009W,  65, 0, HU, 
EP, 05, 2025062012,   , BEST,   0, 189N, 1013W,  45, 0, TS, 
EP, 05, 2025062018,   , BEST,   0, 193N, 1019W,  35, 0, DB, 
EP, 05, 2025062100,   , BEST,   0, 199N, 1026W,  25, 0, DB, 
