EP, 13, 2025090900,   , BEST,   0, 104N,  900W,  20, 0, DB, 
EP, 13, 2025090906,   , BEST,   0, 110N,  909W,  20, 0, DB,   
EP, 13, 2025090912,   , BEST,   0, 114N,  923W,  20, 0, DB,    
EP, 13, 2025090918,   , BEST,   0, 117N,  937W,  20, 0, DB,  
EP, 13, 2025091000,   , BEST,   0, 120N,  950W,  25, 0, TD, 
EP, 13, 2025091006,   , BEST,   0, 130N,  958W,  30, 0, TD, 
EP, 13, 2025091012,   , BEST,   0, 131N,  962W,  35, 0, TS, 
EP, 13, 2025091018,   , BEST,   0, 134N,  966W,  55, 0, TS, 
EP, 13, 2025091100,   , BEST,   0, 139N,  975W,  65, 0, HU,  
EP, 13, 2025091106,   , BEST,   0, 145N,  978W,  55, 0, TS, 
EP, 13, 2025091112,   , BEST,   0, 149N,  981W,  45, 0, TS, 
EP, 13, 2025091118,   , BEST,   0, 154N,  983W,  30, 0, TD, 
EP, 13, 2025091200,   , BEST,   0, 159N,  991W,  30, 0, DB, 
EP, 13, 2025091206,   , BEST,   0, 165N, 1002W,  30, 0, DB,   
EP, 13, 2025091212,   , BEST,   0, 170N, 1013W,  35, 0, TS, 
EP, 13, 2025091218,   , BEST,   0, 173N, 1024W,  35, 0, TS, 
EP, 13, 2025091300,   , BEST,   0, 179N, 1040W,  45, 0, TS,  
EP, 13, 2025091306,   , BEST,   0, 183N, 1052W,  40, 0, TS,  
EP, 13, 2025091312,   , BEST,   0, 185N, 1065W,  35, 0, TS,  
EP, 13, 2025091318,   , BEST,   0, 184N, 1077W,  30, 0, LO,  
EP, 13, 2025091400,   , BEST,   0, 182N, 1086W,  30, 0, LO,  
EP, 13, 2025091406,   , BEST,   0, 181N, 1093W,  30, 0, LO,
EP, 13, 2025091412,   , BEST,   0, 184N, 1099W,  35, 0, TS, 
EP, 13, 2025091418,   , BEST,   0, 187N, 1103W,  40, 0, TS, 
EP, 13, 2025091500,   , BEST,   0, 191N, 1110W,  40, 0, TS,  
EP, 13, 2025091506,   , BEST,   0, 194N, 1118W,  45, 0, TS, 
EP, 13, 2025091512,   , BEST,   0, 197N, 1127W,  50, 0, TS, 
EP, 13, 2025091512,   , BEST,   0, 197N, 1127W,  50, 0, TS, 
EP, 13, 2025091518,   , BEST,   0, 204N, 1139W,  65, 0, HU, 
EP, 13, 2025091600,   , BEST,   0, 211N, 1146W,  70, 0, HU, 
EP, 13, 2025091606,   , BEST,   0, 216N, 1155W,  65, 0, HU, 
EP, 13, 2025091612,   , BEST,   0, 222N, 1166W,  55, 0, TS, 
EP, 13, 2025091618,   , BEST,   0, 226N, 1174W,  45, 0, TS, 
EP, 13, 2025091700,   , BEST,   0, 233N, 1180W,  35, 0, TS, 
EP, 13, 2025091706,   , BEST,   0, 237N, 1188W,  30, 0, TD, 
EP, 13, 2025091712,   , BEST,   0, 244N, 1194W,  25, 0, LO, 
EP, 13, 2025091718,   , BEST,   0, 249N, 1200W,  25, 0, LO, 
